relation_id,source_asset_id,target_asset_id,relation_type,description
REL-001,BDO-CUST-001,LDO-CUST-001,maps to,
REL-002,LDO-CUST-001,TDO-CUST-001,implemented as,
REL-003,BDO-CUST-002,LDO-CUST-002,maps to,
REL-004,LDO-CUST-002,TDO-CUST-002,implemented as,
REL-005,BDO-CUST-003,LDO-CUST-003,maps to,
REL-006,LDO-CUST-003,TDO-CUST-003,implemented as,
REL-007,BDO-CUST-004,LDO-CUST-004,maps to,
REL-008,LDO-CUST-004,TDO-CUST-004,implemented as,
REL-009,BDO-MACH-001,LDO-MACH-001,maps to,
REL-010,LDO-MACH-001,TDO-MACH-001,implemented as,
REL-011,BDO-MACH-002,LDO-MACH-002,maps to,
REL-012,LDO-MACH-002,TDO-MACH-002,implemented as,
REL-013,BDO-MACH-003,LDO-MACH-003,maps to,
REL-014,LDO-MACH-003,TDO-MACH-003,implemented as,
REL-015,BDO-MACH-004,LDO-MACH-004,maps to,
REL-016,LDO-MACH-004,TDO-MACH-004,implemented as,
REL-017,LDO-MACH-005,BDO-MACH-005,maps to,
REL-018,LDO-MACH-005,TDO-MACH-005,implemented as,
REL-019,TDO-MACH-003,TDO-CUST-002,foreign key,
REL-020,BDO-LOC-001,LDO-LOC-001,maps to,
REL-021,BDO-LOC-002,LDO-LOC-002,maps to,
REL-022,BDO-LOC-003,LDO-LOC-003,maps to,
REL-023,BDO-LOC-004,LDO-LOC-004,maps to,
REL-024,BDO-LOC-005,LDO-LOC-005,maps to,
REL-025,BDO-LOC-006,LDO-LOC-006,maps to,
REL-026,BDO-LOC-007,LDO-LOC-007,maps to,
REL-027,BDO-LOC-008,LDO-LOC-008,maps to,
REL-028,BDO-IB-001,LDO-IB-001,maps to,
REL-029,BDO-IB-002,LDO-IB-002,maps to,
REL-030,BDO-IB-003,LDO-IB-003,maps to,
REL-031,BDO-IB-004,LDO-IB-004,maps to,
REL-032,BDO-STATE-001,LDO-STATE-001,maps to,
REL-033,BDO-STATE-002,LDO-STATE-002,maps to,
REL-034,BDO-STATE-003,LDO-STATE-003,maps to,
REL-035,BDO-STATE-004,LDO-STATE-004,maps to,
REL-036,BDO-STATE-005,LDO-STATE-005,maps to,
REL-037,BDO-STATE-006,LDO-STATE-006,maps to,
REL-038,BDO-STATE-007,LDO-STATE-007,maps to,
REL-039,BDO-EVENT-001,LDO-EVENT-001,maps to,
REL-040,BDO-EVENT-002,LDO-EVENT-002,maps to,
REL-041,BDO-EVENT-003,LDO-EVENT-003,maps to,
REL-042,BDO-EVENT-004,LDO-EVENT-004,maps to,
REL-043,BDO-EVENT-005,LDO-EVENT-005,maps to,
REL-044,BDO-EVENT-006,LDO-EVENT-006,maps to,
REL-045,LDO-CUST-001,LDO-LOC-001,is located at,
REL-046,LDO-MACH-001,LDO-IB-001,references to,
REL-047,LDO-LOC-001,LDO-IB-001,references to,
REL-048,LDO-MACH-001,LDO-STATE-001,has,
REL-049,LDO-MACH-001,LDO-EVENT-001,generates,
REL-050,LDO-LOC-001,TDO-LEONIE-001,implemented as,
REL-051,LDO-IB-001,TDO-BART-001,implemented as,
REL-052,LDO-STATE-001,TDO-ZACHARIAS-001,implemented as,
REL-053,LDO-EVENT-001,TDO-ERNESTO-001,implemented as,
REL-054,LDO-STATE-001,TDO-NAKOMER-001,implemented as,
