event_id,machine_nr,event_time,event_type,metric_value
E00000001,M000001,2025-09-24T02:27:10,lot_started,
E00000002,M000001,2025-09-24T04:54:45,lot_completed,76.529
E00000003,M000001,2025-09-24T04:38:22,lot_started,
E00000004,M000001,2025-09-24T06:24:57,lot_completed,92.224
E00000005,M000001,2025-09-24T05:23:26,lot_started,
E00000006,M000001,2025-09-24T07:22:43,lot_completed,78.151
E00000007,M000002,2025-09-24T06:18:10,lot_started,
E00000008,M000002,2025-09-24T08:31:45,lot_completed,20.391
E00000009,M000002,2025-09-24T17:50:54,lot_started,
E00000010,M000002,2025-09-24T19:35:16,lot_completed,61.013
E00000011,M000002,2025-09-24T21:57:46,lot_started,
E00000012,M000002,2025-09-24T22:34:24,lot_completed,99.159
E00000013,M000003,2025-09-24T02:52:17,test_started,
E00000014,M000003,2025-09-24T03:05:01,test_completed,65.663
E00000015,M000003,2025-09-24T12:56:32,test_started,
E00000016,M000003,2025-09-24T13:26:37,test_completed,78.346
E00000017,M000003,2025-09-24T13:33:01,lot_started,
E00000018,M000003,2025-09-24T18:36:31,lot_completed,58.903
E00000019,M000004,2025-09-24T13:23:18,lot_started,
E00000020,M000004,2025-09-24T18:31:21,lot_completed,95.046
E00000021,M000004,2025-09-24T15:36:20,test_started,
E00000022,M000004,2025-09-24T16:22:32,test_completed,56.722
E00000023,M000005,2025-09-24T01:54:18,lot_started,
E00000024,M000005,2025-09-24T07:33:22,lot_completed,46.337
E00000025,M000006,2025-09-24T13:35:17,test_started,
E00000026,M000006,2025-09-24T13:46:26,test_completed,45.736
E00000027,M000006,2025-09-24T16:59:26,test_started,
E00000028,M000006,2025-09-24T17:36:31,test_completed,28.217
E00000029,M000006,2025-09-24T20:51:35,lot_started,
E00000030,M000006,2025-09-24T22:52:56,lot_completed,28.267
E00000031,M000007,2025-09-24T03:12:23,test_started,
E00000032,M000007,2025-09-24T03:47:50,test_completed,21.42
E00000033,M000007,2025-09-24T08:15:49,test_started,
E00000034,M000007,2025-09-24T08:49:55,test_completed,71.688
E00000035,M000007,2025-09-24T23:53:23,test_started,
E00000036,M000007,2025-09-24T23:59:59.999999,test_completed,63.592
E00000037,M000008,2025-09-24T11:14:59,test_started,
E00000038,M000008,2025-09-24T11:57:54,test_completed,21.076
E00000039,M000009,2025-09-24T16:37:39,test_started,
E00000040,M000009,2025-09-24T17:06:48,test_completed,24.399
E00000041,M000010,2025-09-24T06:08:21,lot_started,
E00000042,M000010,2025-09-24T07:38:19,lot_completed,93.264
E00000043,M000011,2025-09-24T18:43:44,test_started,
E00000044,M000011,2025-09-24T19:17:21,test_completed,36.882
