machine_nr,customer_id,machine_type,model
M000001,C001,AT,Model-312
M000002,C001,AT,Model-619
M000003,C001,NXE,Model-224
M000004,C001,AT,Model-317
M000005,C001,NXE,Model-776
M000006,C001,AT,Model-237
M000007,C002,AT,Model-103
M000008,C002,AT,Model-223
M000009,C002,NXT,Model-881
M000010,C002,AT,Model-487
M000011,C002,AT,Model-593
M000012,C002,AT,Model-728
M000013,C002,NXT,Model-374
M000014,C003,AT,Model-271
M000015,C003,AT,Model-786
M000016,C003,AT,Model-614
M000017,C004,NXE,Model-380
M000018,C004,AT,Model-531
M000019,C004,NXE,Model-378
M000020,C004,NXE,Model-200
M000021,C004,AT,Model-950
M000022,C004,NXT,Model-291
M000023,C005,NXE,Model-871
M000024,C005,NXT,Model-600
M000025,C005,NXT,Model-503
M000026,C006,NXT,Model-196
M000027,C006,NXT,Model-794
M000028,C006,AT,Model-143
M000029,C006,NXE,Model-953
M000030,C006,NXE,Model-293
