state_id,machine_nr,state_code,state_desc,start_time,end_time
S0000001,M000001,1-P,Productive,2025-09-24T02:27:10,2025-09-24T04:54:45
S0000002,M000001,1-P,Productive,2025-09-24T04:38:22,2025-09-24T04:54:45
S0199489,M000001,3-Idle,Idle,2025-09-24T04:54:45,2025-09-24T05:23:26
S0000003,M000001,1-P,Productive,2025-09-24T05:23:26,2025-09-24T06:24:57
S0199754,M000002,3-Idle,Idle,2025-11-13T15:34:05,2025-11-13T23:06:39
S0000301,M000002,1-P,Productive,2025-11-13T23:06:39,2025-11-13T23:59:59.999999
S0199755,M000002,3-Idle,Idle,2025-11-13T23:59:59.999999,2025-11-14T00:23:40
S0000302,M000002,1-P,Productive,2025-11-14T00:23:40,2025-11-14T02:07:48
S0199756,M000002,3-Idle,Idle,2025-11-14T02:07:48,2025-11-14T15:33:04
S0000303,M000002,1-P,Productive,2025-11-14T15:33:04,2025-11-14T19:29:37
S0199757,M000002,3-Idle,Idle,2025-11-14T19:29:37,2025-11-14T23:45:22
S0000304,M000002,1-P,Productive,2025-11-14T23:45:22,2025-11-14T23:59:59.999999
S0199758,M000002,3-Idle,Idle,2025-11-14T23:59:59.999999,2025-11-15T20:30:56
S0000305,M000002,1-P,Productive,2025-11-15T20:30:56,2025-11-15T23:59:59.999999
S0199929,M000003,3-Idle,Idle,2025-11-15T04:28:53,2025-11-15T06:47:34
S0000510,M000003,1-P,Productive,2025-11-15T06:47:34,2025-11-15T09:01:38
S0199930,M000003,3-Idle,Idle,2025-11-15T09:01:38,2025-11-15T16:20:09
S0000511,M000003,2-Stand By,Stand By,2025-11-15T16:20:09,2025-11-15T16:33:08
S0199931,M000003,3-Idle,Idle,2025-11-15T16:33:08,2025-11-16T05:21:30
S0000512,M000003,2-Stand By,Stand By,2025-11-16T05:21:30,2025-11-16T05:52:45
